time,open,close,high,low,volume
1364891160000,102.96,102.96,102.96,102.96,0.49785
1364891280000,103.0,103.0,103.0,103.0,10.0
1364891340000,103.38095,103.38095,103.38095,103.38095,1.0
1364891400000,103.38095,103.38095,103.38095,103.38095,0.45612251
1364891940000,103.5,104.0,104.0,103.5,10.0
1364892540000,104.0,104.88,104.88,104.0,69.20324570999999
1364892600000,104.89,104.9,104.9,104.89,30.79675429
1364892660000,104.86998,104.675,104.86998,104.675,11.02965814
1364892900000,104.82989,104.82989,104.82989,104.82989,0.01203712
1364892960000,104.82989,104.8,104.82999,104.8,35.0
1364893080000,104.5,104.5,104.5,104.5,20.0
1364894400000,105.0,105.0,105.0,105.0,33.94138927
1364894460000,104.99617,104.99617,104.99617,104.99617,16.05861073
1364894520000,104.99617,104.99617,104.99617,104.99617,1.11
1364894820000,104.47381,105.39999,105.39999,103.52761,498.59689784
1364895000000,104.9,104.9,104.9,104.9,28.0
1364895060000,104.9,105.019,105.019,104.89998,12.999999999999998
1364895120000,105.51,105.51,105.51,105.51,0.9
1364895360000,105.0601,105.0601,105.0601,105.0601,0.29912578
1364895540000,105.397,105.397,105.397,105.397,0.214177
1364895600000,105.22472,105.22472,105.22472,105.22472,15.0
1364895780000,105.22472,105.22472,105.22472,105.22472,5.90909076
1364896440000,105.3,105.3,105.3,105.3,0.2485
1364897460000,105.45,105.45,105.45,105.45,2.0
1364897580000,105.5,105.51,105.51,105.5,50.0
1364898120000,105.45,105.45,105.45,105.45,10.97
1364898840000,106.0,105.85,106.0,105.73001,45.0
1364898900000,105.9,105.9,105.9,105.9,25.0
1364898960000,105.88495,106.5,106.8,105.88495,116.23
1364899080000,106.59998,106.9,106.9,106.59998,124.02777
1364899140000,106.91,107.0,107.65,106.525,505.97223000000014
1364899200000,107.0,107.12101,107.12101,107.0,70.0
1364899260000,106.0123,106.97633,106.97633,106.0123,63.24754331
1364899320000,106.86,106.91,106.91,106.86,0.9957
1364899380000,106.9875,106.91,106.9875,106.91,21.0457
1364899440000,106.9,106.9,106.9,106.9,5.0
1364899500000,106.1407,106.1407,106.1407,106.1407,0.51932419
1364899680000,106.02,106.0123,106.02,106.0123,10.0
1364899740000,106.08,106.11,106.11,106.08,1.9871
1364900040000,105.0,105.0,105.0,105.0,12.0
1364900100000,104.0,103.95,104.21,103.95,50.0
1364900160000,103.77,104.0,104.0,103.77,18.0
1364900340000,105.33,105.33,105.33,105.33,0.01917537
1364900400000,105.23999,105.35,105.35,105.23999,0.56468344
